2016 rank,City,State[5],2016 estimate,2010 Census,Change,2016 land area,2016 population density,Location
75,Irvine,California,"266,122","212,375",+25.31%,65.6sqmi,169.9km2,"4,057/sqmi","1,566/km2",334042N 1174617W / 33.6784N 117.7713W
76,Fort Wayne,Indiana,"264,488","253,691",+4.26%,110.6sqmi,286.5km2,"2,391/sqmi",923/km2,410518N 850838W / 41.0882N 85.1439W
77,Jersey City,New Jersey,"264,152","247,597",+6.69%,14.8sqmi,38.3km2,"17,848/sqmi","6,891/km2",404241N 740353W / 40.7114N 74.0648W
78,Durham,North Carolina,"263,016","228,330",+15.19%,109.8sqmi,284.4km2,"2,395/sqmi",925/km2,355852N 785410W / 35.9811N 78.9029W
79,St. Petersburg,Florida,"260,999","244,769",+6.63%,61.8sqmi,160.1km2,"4,223/sqmi","1,631/km2",274543N 823839W / 27.7620N 82.6441W
80,Laredo,Texas,"257,156","236,091",+8.92%,101.1sqmi,261.8km2,"2,544/sqmi",982/km2,273337N 992921W / 27.5604N 99.4892W
81,Buffalo,New York,"256,902","261,310",1.69%,40.4sqmi,104.6km2,"6,359/sqmi","2,455/km2",425333N 785135W / 42.8925N 78.8597W
82,Madison,Wisconsin,"252,551","233,209",+8.29%,77.0sqmi,199.4km2,"3,280/sqmi","1,270/km2",430516N 892548W / 43.0878N 89.4299W
83,Lubbock,Texas,"252,506","229,573",+9.99%,124.6sqmi,322.7km2,"2,027/sqmi",783/km2,333356N 1015312W / 33.5656N 101.8867W
84,Chandler,Arizona,"247,477","236,123",+4.81%,64.9sqmi,168.1km2,"3,813/sqmi","1,472/km2",331658N 1115118W / 33.2829N 111.8549W
85,Scottsdale,Arizona,"246,645","217,385",+13.46%,183.9sqmi,476.3km2,"1,341/sqmi",518/km2,334103N 1115140W / 33.6843N 111.8611W
86,Glendale,Arizona,"245,895","226,721",+8.46%,59.1sqmi,153.1km2,"4,161/sqmi","1,607/km2",333159N 1121124W / 33.5331N 112.1899W
87,Reno,Nevada,"245,255","225,221",+8.90%,107.3sqmi,277.9km2,"2,286/sqmi",883/km2,393257N 1195100W / 39.5491N 119.8499W
88,Norfolk[16],Virginia,"245,115","242,803",+0.95%,53.3sqmi,138.0km2,"4,599/sqmi","1,776/km2",365523N 761441W / 36.9230N 76.2446W
89,WinstonSalem,North Carolina,"242,203","229,617",+5.48%,132.5sqmi,343.2km2,"1,828/sqmi",706/km2,360610N 801540W / 36.1027N 80.2610W
90,North Las Vegas,Nevada,"238,702","216,961",+10.02%,98.0sqmi,253.8km2,"2,436/sqmi",941/km2,361709N 1150538W / 36.2857N 115.0939W
91,Irving,Texas,"238,289","216,290",+10.17%,67.0sqmi,173.5km2,"3,557/sqmi","1,373/km2",325128N 965812W / 32.8577N 96.9700W
92,Chesapeake[16],Virginia,"237,940","222,209",+7.08%,338.5sqmi,876.7km2,703/sqmi,271/km2,364046N 761806W / 36.6794N 76.3018W
93,Gilbert[20],Arizona,"237,133","208,453",+13.76%,68.0sqmi,176.1km2,"3,487/sqmi","1,346/km2",331837N 1114435W / 33.3103N 111.7431W
94,Hialeah,Florida,"236,387","224,669",+5.22%,21.5sqmi,55.7km2,"10,995/sqmi","4,245/km2",255212N 801810W / 25.8699N 80.3029W
