X,Y,OBJECTID,NAME,ADDRESS,UNIT_SUITE,ZIP_4,CONTACT,SEC_NAME,NAICS,CENSUS_TRACT,WARD
-76.9999665473668,38.8840925020482,79,SWANN FOUNDATION FOR MUSICEDUCATION,413 D ST SE,,20003-2054,MICHELLE VAN CLEAVE,,711130,006500,6
-76.9982150556917,38.8817892239498,80,THE ROBBINS CENTER FOR CROSS CULTURAL COMMUNICATION,530 6TH ST SE,,20003-2705,,,710000,007000,6
-76.9971810199932,38.8377453130833,81,DC CREATIVE WRITING WORKSHOP INC,601 MISSISSIPPI AVE SE,,20032-3862,NANCY J SCWALB,,710000,009804,8
-77.0446085815763,38.9028065321883,82,AMERICAN WRITERS MUSEUM FOUNDATION,1999 K STREET NW,1109,20006-1101,,,712110,010700,2
-76.9889471462853,38.8862057064936,83,OLD GRAND THEATER COMPANY,1236 C ST SE,,20003-1433,WAYNE MOORE,,711110,006700,6
-76.9885699939121,38.8669903082831,84,SOCIAL ART AND CULTURE,1918 MARTIN LUTHER KING AVE SE,,20020-7006,KAREN BAKER,,710000,007503,8
-77.0451424380601,38.9094725071763,85,FEDERAL CITY PERFORMING ARTS ASSOCIATION INC,2000 P ST NW,730,20036-6968,,,711130,005500,2
-76.988302847851,38.8601695586723,86,FREDERICK DOUGLAS GARDENS,1395 MORRIS RD SE,,20020-5235,DIANNE DALE,,712130,007407,8
-77.0294536546678,38.9235824943431,87,SUSPICIOUS CHEESELORDS INC,1236 EUCLID ST NW,,20009-5330,CLIFTON N WEST,,711130,003600,1
-77.077805991144,38.9435719895861,88,SONGWRITERS ASSOCIATION OF WASHINGTON INC,4200 WISCONSIN AVE NW,106 137,20016-2143,,,813920,001002,3
-77.0285913234633,38.9259927944203,89,MILLENNIUM ARTS SALON INC,1213 GIRARD ST NW,,20009-5325,,,710000,003600,1
-77.0276360626673,38.9235291586567,90,FACTORY 449,1112 EUCLID ST NW,B,20009-5328,RICK HAMMERLY,,711110,003600,1
-77.0732577493096,38.9369393275642,91,WASHINGTON BALLET,3515 WISCONSIN AVE NW,,20016-3010,,,711120,000600,3
-77.0328465907587,38.9035550620721,92,MOSAICA INC,1029 VERMONT AVE NW,1000,20005-3530,RACHAEL C GIBSON,,710000,010100,2
-77.0459274810478,38.9083910194175,93,O STREET MUSEUM FOUNDATION,2020 O ST NW,,20036-5912,H H LEONARDS,,712110,005500,2
-77.037898166047,38.9029302443855,94,ARTOMATIC INC,1629 K ST NW,300,20006-1631,GEORGE KOCH,,710000,010700,2
-77.0374534052983,38.904276776594,95,FUTURE OF MUSIC COALITION INC,1615 L ST NW,520,20036-5608,MICHAEL M BRACY,,711130,010700,2
-77.0545490375051,38.9236000490042,96,KINDLER CELLO SOCIETY OF WASHINGTON INC,2501 CALVERT ST NW,101,20008-2604,RONALD M COSTELL MD,,711130,000501,3
-77.026487715574,38.8987190080648,97,DC ARTS AND HUMANITIES EDUCATION COLLABORATIVE INC,1001 G ST NW,,20001-4545,D C COMMISSION ON THE ARTS,,710000,005800,2
-77.0575291801514,38.9368001210836,98,ANNE FRANK HOUSE INC,2850 QUEBEC ST NW,,20008-5200,ADAS ISRAEL CONGREGATION,,712120,001302,3
-77.0425682422609,38.8989449591813,99,WORLD BANK FAMILY NETWORK BOOK PROJECT,1818 H ST NW,,20433-0001,VILAYKHAM PHOMSOUVANH,,511100,010800,2
-77.0739089740694,38.944176632638,100,PUNDIT PRODUCTIONS INC,3731 VEAZEY ST NW,,20016-2248,MELINDA WITTSTOCK,,513120,001200,3
-77.0442768508474,38.918491446437,101,WASHINGTON SOCIETY OF THE ARCHAEOLOGICAL INSTITUTE OF AMERIC,1870 WYOMING AVE NW,601,20009-1802,VALERIE FRENCH,,710000,004002,1
-77.0528346150721,38.9164814642925,102,SHERIDAN KALORAMA HISTORICAL ASSOCIATION INC,2401 TRACY PL NW,,20008-1628,HOLLY SUKENIK,, ,004100,2
-77.0369121748211,38.912172044912,103,LAOTIAN AMERICAN NATIONAL ALLIANCE,1628 16TH STREET NW,2nd Floor,20009-3064,C/O NCSC,,710000,005301,2
-77.0257421431336,38.9065138353005,104,LAGODI FOUNDATION FOR THE ARTS INC,1219 10TH ST NW,,20001-4213,PATRICK DIBATTISTA,,813219,004902,2
-77.0269767061685,38.9821677532216,105,AFRICAN HERITAGE FOUNDATION INC,7600 GEORGIA AVENUE NW,,20012-1616,,,710000,001600,4
-77.0410069701851,38.8956816066834,106,WHITE HOUSE COMMISSION ON THE NATIONAL MOMENT OF REMEMBRANCE,1750 NEW YORK AVE NW,1776,20006-5301,CARMELLA LASPADA,,712120,010800,2
-77.0591229788601,38.9361169469021,107,EDUCATION WRITERS ASSOCIATION,3516 CONNECTICUT AVENUE NW,,20008-2401,,,813920,000600,3
-77.029163689541,38.9000564726818,108,NATIONAL MUSEUM OF WOMEN IN THE ARTS INC,1250 NEW YORK AVE NW,,20005-3970,,,712110,005800,2
-77.0518567945938,38.9065022797878,109,LAYALINA PRODUCTIONS INC,1250 24TH STREET NW,,20037-1124,RICHARD FAIRBANKS,,513120,005500,2
-77.0248142489934,38.9449285670639,110,LAMONT PRODUCTIONS INC,834 ALLISON ST NW,,20011-7112,DOLORES SMITH,,512110,002400,4
-77.0348476897016,38.9142766666445,111,WOODLEY ENSEMBLE,1503 S ST NW,,20009-3821,FRANK ALBINDER,,711130,004300,2
-77.1079594069678,38.9265345784685,112,MBARI INSTITUTE FOR CONTEMPORARY AFRICAN ART INC,5319 POTOMAC AVE NW,,20016-2551,,,611610,000902,3
-77.0263304676995,38.9464526171861,113,DANIEL PHOENIX SINGH & COMPANY,4607 GEORGIA AVE NW,,20011-7127,DANIEL PHOENIX SINGH,DAKSHINA,710000,002201,4
-77.0215489033678,38.9197349621673,114,THE ASSOCIATION FOR THE STUDY OF AFRICAN AMERICAN LIFE AND HISTORY,2225 GEORGIA AVENUE NW,331,20059-1014,,,712120,003400,1
-77.0597640298048,38.9037689712311,115,THE GEORGETOWN WATERFRONT ARTS COMMISION,1055 THOMAS JEFFERSON ST NW,,20007-5259,,,710000,000100,2
-77.0670567082985,38.9128611034771,116,AMERICAN FRIENDS OF BLACK STORK,3331 RESERVOIR RD NW,,20007-2312,JAMES F WARREN,,813219,000202,2
-77.0786904236629,38.9141147451792,117,FRENCH-AMERICAN CULTURAL FOUNDATION,4101 RESERVOIR RD NW,,20007-2130,SILVERSTEIN AND MULLENS A DIVISIO,,710000,000802,2
-77.008608941939,38.9043128214337,118,NATIONAL PUBLIC RADIO INC,1111 NORTH CAPITOL ST NE,,20002-0000,EMMA CARRASCO,,513110,010600,6
-76.9964020327634,38.881499292229,119,DANCE METRODC INC,545 7TH ST SE,,20003-2738,,,711120,007000,6
-77.0340100445258,38.9491896928821,120,WASHINGTON JAZZ ART INSTITUTES,1409 DELAFIELD PL NW,,20011-4346,DAVEY S YARBOROUGH,,711130,002002,4
-77.0193523346748,38.8931322478012,121,NEWSEUM INC,555 PENNSYLVANIA AVENUE NW,,20001-2114,NEWSEUM INC,,510000,005900,2
-77.0181032822616,38.957264288774,122,GIRLS ROCK DC INC,5524 4TH ST NW,,20011-6510,MICHELLE RUSH,,711130,002102,4
-77.0373940919931,38.9226441683207,123,18TH STREET SINGERS,2480 16TH ST NW,802,20009-6706,FIRST TRINITY LUTHERAN CHURCH,,711130,003800,1
-77.023714966501,38.896526517572,124,FOUNDATION FOR THE INTERNATIONAL MUSEUM FOR WOMEN IN,505 9TH ST NW,1000,20004-2166,,,712110,005800,2
-77.0255706293652,38.8976413617159,125,CULTURECAPITAL,975 F ST NW,,20004-1454,,,710000,005800,2
-76.9638043279714,38.8727196506834,126,DC ANIME CLUB,3013 O ST SE,,20020-3618,CHRIS WANAMAKER,,710000,009901,7
-77.0323379989195,38.9095050391436,127,TRANSFORMER INC,1404 P ST NW,,20005-1908,VICTORIA REIS,,813219,005201,2
-76.9863259169827,38.9000087764531,128,NDIBEM THEATRICAL DANCE PRODUCTION COMPANY INC,1361 H ST NE,,20002-4406,JUNE WILSON,,711120,008402,6
-77.0496073058058,38.9121135647078,129,PILLARS OF GREEK CULTURE,2217 MASSACHUSETTS AVE NW,,20008-2847,ZOE KOSMIDOU,,710000,004100,2
-76.9343530019988,38.8988757175175,130,WARD 7 ARTS COLLABORATIVE INC,4645 NANNIE HELEN BURROUGHS AVE NE,,20019-3622,WANDA AIKENS,,611610,007804,7
-76.9946107399779,38.8820986415595,131,SHAKESPEARE THEATRE,516 8TH ST SE,,20003-2834,KMPQ PEAT MARWICK,,711110,007000,6
